Incident_DateTime,Borough,Battalion,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
01/01/2016 12:08:00 AM,Queens,50,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 12:13:00 AM,Staten Island,21,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:21:00 AM,Queens,37,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:29:00 AM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 12:32:00 AM,Queens,50,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 12:46:00 AM,Manhattan,09,MD Residential Structure,Candle,Open Flame
01/01/2016 01:24:00 AM,Brooklyn,32,PD Residential Structure,Other - Open Flame,Open Flame
01/01/2016 01:46:00 AM,Queens,46,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 02:52:00 AM,Manhattan,16,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 03:45:00 AM,Brooklyn,28,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 05:31:00 AM,Manhattan,09,MD Residential Structure,Candle,Open Flame
01/01/2016 08:00:00 AM,Queens,46,Other,Other - No Fire,No Fire
01/01/2016 09:52:00 AM,Manhattan,01,MD Residential Structure,Computer Component(s),Electrical Devices
01/01/2016 11:50:00 AM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 01:21:00 PM,Bronx,03,Other,Food on the Stove,Cooking Carelessness
01/01/2016 01:48:00 PM,Bronx,20,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/01/2016 02:27:00 PM,Brooklyn,57,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 04:27:00 PM,Queens,49,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/01/2016 04:38:00 PM,Queens,46,MD Residential Structure,Incendiary,Incendiary
01/01/2016 05:51:00 PM,Bronx,03,MD Residential Structure,Incendiary,Incendiary
01/01/2016 06:17:00 PM,Manhattan,10,MD Residential Structure,Preliminary Investigation Only,Other
01/01/2016 06:30:00 PM,Brooklyn,57,Outside Rubbish,Incendiary,Incendiary
01/01/2016 07:18:00 PM,Manhattan,10,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/01/2016 07:51:00 PM,Bronx,14,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/01/2016 08:10:00 PM,Brooklyn,58,MD Residential Structure,Preliminary Investigation Only,Other
01/01/2016 09:00:00 PM,Queens,50,PD Residential Structure,Preliminary Investigation Only,Other
01/01/2016 09:38:00 PM,Brooklyn,43,PD Residential Structure,Preliminary Investigation Only,Other
01/01/2016 10:25:00 PM,Brooklyn,43,MD Residential Structure,Preliminary Investigation Only,Other
01/01/2016 11:30:00 PM,Brooklyn,48,Commercial Structure,Electrical Wiring,Electrical
01/01/2016 11:55:00 PM,Brooklyn,39,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/02/2016 04:19:00 AM,Brooklyn,44,Other,Other - No Fire,No Fire
01/02/2016 06:07:00 AM,Bronx,14,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/02/2016 06:23:00 AM,Manhattan,06,MD Residential Structure,Preliminary Investigation Only,Other
01/02/2016 07:09:00 AM,Manhattan,04,MD Residential Structure,Incendiary,Incendiary
01/02/2016 09:54:00 AM,Bronx,27,Group Home,Incendiary,Incendiary
01/02/2016 10:06:00 AM,Bronx,27,MD Residential Structure,Preliminary Investigation Only,Other
01/02/2016 11:30:00 AM,Queens,45,MD Residential Structure,Electrical Wiring,Electrical
01/02/2016 11:56:00 AM,Brooklyn,39,PD Residential Structure,Electrical Wiring,Electrical
01/02/2016 12:05:00 PM,Manhattan,13,MD Residential Structure,Preliminary Investigation Only,Other
01/02/2016 02:08:00 PM,Manhattan,08,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/02/2016 02:13:00 PM,Queens,47,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
01/02/2016 04:01:00 PM,Brooklyn,31,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
01/02/2016 05:13:00 PM,Brooklyn,32,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/02/2016 06:08:00 PM,Brooklyn,58,Vehicle,Incendiary - Combustible Material,Incendiary
01/02/2016 06:48:00 PM,Bronx,03,MD Residential Structure,Preliminary Investigation Only,Other
01/02/2016 07:03:00 PM,Manhattan,09,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
01/02/2016 07:51:00 PM,Queens,50,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/02/2016 09:01:00 PM,Brooklyn,58,MD Residential Structure,Preliminary Investigation Only,Other
01/02/2016 09:57:00 PM,Brooklyn,51,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
02/27/2017 04:49:00 PM,Staten Island,21,Other,Other - No Fire,No Fire
01/02/2016 10:43:00 PM,Brooklyn,43,Vehicle,Incendiary - Ignitable Liquid,Incendiary
01/02/2016 11:36:00 PM,Queens,54,PD Residential Structure,Fireplace,Open Flame
01/02/2016 11:42:00 PM,Brooklyn,42,Vehicle,Vehicle Wiring,Electrical
01/03/2016 02:18:00 AM,Manhattan,01,MD Residential Structure,Extension Cord,Electrical
01/03/2016 02:41:00 AM,Bronx,15,MD Residential Structure,Electrical Wiring,Electrical
01/03/2016 04:42:00 AM,Brooklyn,32,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 08:14:00 AM,Manhattan,06,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 10:44:00 AM,Bronx,03,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/03/2016 10:51:00 AM,Manhattan,07,MD Residential Structure,Other - Open Flame,Open Flame
01/03/2016 11:00:00 AM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/03/2016 11:24:00 AM,Bronx,20,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/03/2016 11:32:00 AM,Bronx,15,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 12:29:00 PM,Manhattan,16,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/03/2016 12:36:00 PM,Bronx,26,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/03/2016 12:50:00 PM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
01/03/2016 01:31:00 PM,Brooklyn,42,MD Residential Structure,Holiday Lighting,Electrical
01/03/2016 01:53:00 PM,Queens,45,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 02:54:00 PM,Bronx,26,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/03/2016 03:28:00 PM,Bronx,19,Commercial Structure,Electrical Wiring,Electrical
01/03/2016 04:16:00 PM,Queens,52,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/03/2016 04:30:00 PM,Bronx,19,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 05:30:00 PM,Brooklyn,35,Outside Rubbish,Incendiary,Incendiary
01/03/2016 06:00:00 PM,Brooklyn,42,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/03/2016 06:54:00 PM,Manhattan,12,MD Residential Structure,Preliminary Investigation Only,Other
01/03/2016 07:12:00 PM,Brooklyn,28,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/03/2016 08:19:00 PM,Bronx,26,MD Residential Structure,Incendiary,Incendiary
01/03/2016 08:20:00 PM,Staten Island,23,PD Residential Structure,Other - Electrical,Electrical
01/03/2016 08:23:00 PM,Staten Island,23,Outside Rubbish,Incendiary,Incendiary
01/03/2016 09:37:00 PM,Queens,54,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/03/2016 09:46:00 PM,Manhattan,01,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 12:16:00 AM,Queens,46,Commercial Structure,Incendiary - Ignitable Liquid,Incendiary
01/04/2016 01:16:00 AM,Bronx,18,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/04/2016 07:46:00 AM,Manhattan,16,MD Residential Structure,Extension Cord,Electrical
01/04/2016 10:56:00 AM,Brooklyn,40,MD Residential Structure,Other Motor,Motors
01/04/2016 12:27:00 PM,Queens,46,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/04/2016 01:00:00 PM,Bronx,20,Government Structure,Incendiary,Incendiary
01/04/2016 01:19:00 PM,Brooklyn,57,MD Residential Structure,Electrical Wiring,Electrical
01/04/2016 02:32:00 PM,Queens,50,MD Residential Structure,Motors - Fan,Motors
01/04/2016 02:35:00 PM,Bronx,19,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/04/2016 04:00:00 PM,Queens,53,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/04/2016 04:44:00 PM,Bronx,18,Other,Juvenile Firesetter Intervention,Other
01/04/2016 04:49:00 PM,Brooklyn,57,MD Residential Structure,Incendiary,Incendiary
01/04/2016 04:57:00 PM,Brooklyn,38,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 05:38:00 PM,Brooklyn,41,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/04/2016 06:50:00 PM,Queens,45,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 06:55:00 PM,Manhattan,11,MD Residential Structure,Incendiary,Incendiary
01/04/2016 07:08:00 PM,Brooklyn,41,MD Residential Structure,Other - Hot Objects,Hot Objects
01/04/2016 07:44:00 PM,Queens,49,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 07:53:00 PM,Bronx,03,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/04/2016 08:10:00 PM,Staten Island,22,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 08:12:00 PM,Bronx,18,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/04/2016 08:29:00 PM,Bronx,26,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/04/2016 08:33:00 PM,Manhattan,16,MD Residential Structure,Preliminary Investigation Only,Other
01/04/2016 08:41:00 PM,Brooklyn,33,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
01/04/2016 09:12:00 PM,Brooklyn,42,MD Residential Structure,Electrical Wiring,Electrical
01/04/2016 09:50:00 PM,Manhattan,16,Commercial Structure,Clothes Dryer - Natural Gas,Appliances
01/05/2016 12:15:00 AM,Manhattan,01,MD Residential Structure,Candle,Open Flame
01/05/2016 01:23:00 AM,Manhattan,11,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
01/05/2016 02:16:00 AM,Brooklyn,38,MD Residential Structure,Preliminary Investigation Only,Other
01/05/2016 03:29:00 AM,Staten Island,21,MFA,MFA,No Fire
01/05/2016 06:07:00 AM,Brooklyn,39,Commercial Structure,Other - Hot Objects,Hot Objects
01/05/2016 07:06:00 AM,Queens,50,Commercial Structure,Motors - Fossil Fuel Powered,Motors
01/05/2016 07:53:00 AM,Brooklyn,39,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/05/2016 08:16:00 AM,Manhattan,07,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/05/2016 08:57:00 AM,Manhattan,09,MD Residential Structure,Other - No Fire,No Fire
01/05/2016 09:59:00 AM,Brooklyn,39,PD Residential Structure,Extension Cord,Electrical
01/05/2016 10:25:00 AM,Staten Island,23,PD Residential Structure,Permanent Heater - Gas,Heaters
01/05/2016 11:05:00 AM,Queens,50,PD Residential Structure,Preliminary Investigation Only,Other
01/05/2016 11:06:00 AM,Queens,52,PD Residential Structure,Preliminary Investigation Only,Other
01/05/2016 11:44:00 AM,Bronx,26,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
01/05/2016 12:08:00 PM,Manhattan,06,Commercial Structure,Permanent Heater - Gas,Heaters
01/05/2016 01:29:00 PM,Queens,54,PD Residential Structure,Incense,Hot Objects
01/05/2016 01:30:00 PM,Staten Island,22,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/05/2016 01:42:00 PM,Bronx,27,PD Residential Structure,Preliminary Investigation Only,Other
01/05/2016 02:36:00 PM,Brooklyn,40,MD Residential Structure,Matches/Lighter,Open Flame
01/05/2016 03:13:00 PM,Bronx,19,Vehicle,Vehicle Wiring,Electrical
01/05/2016 04:19:00 PM,Brooklyn,57,MD Residential Structure,Extension Cord,Electrical
01/05/2016 04:45:00 PM,Bronx,19,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
01/05/2016 05:49:00 PM,Bronx,15,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/05/2016 05:54:00 PM,Queens,54,PD Residential Structure,Lighting Fixture,Electrical
01/05/2016 06:34:00 PM,Bronx,20,PD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
01/05/2016 08:47:00 PM,Bronx,27,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/05/2016 09:18:00 PM,Bronx,18,MD Residential Structure,Electrical Wiring,Electrical
01/05/2016 09:22:00 PM,Brooklyn,48,MD Residential Structure,Other - Electrical,Electrical
01/05/2016 09:31:00 PM,Queens,49,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/06/2016 02:06:00 AM,Manhattan,16,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/06/2016 02:34:00 AM,Brooklyn,35,Outside Rubbish,Permanent Heater,Heaters
01/06/2016 07:12:00 AM,Bronx,14,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 07:18:00 AM,Queens,54,Garage/Shed,Extension Cord,Electrical
01/06/2016 08:59:00 AM,Queens,53,Burn Notification (Albany),Albany Burn Notif. / Pending Investigation,Other
01/06/2016 09:04:00 AM,Brooklyn,41,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/06/2016 11:15:00 AM,Brooklyn,38,PD Residential Structure,Other - Electrical,Electrical
01/06/2016 11:22:00 AM,Manhattan,11,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 12:52:00 PM,Staten Island,21,PD Residential Structure,Other - Electrical,Electrical
01/06/2016 01:27:00 PM,Staten Island,40,MD Residential Structure,Other - No Fire,No Fire
01/06/2016 02:45:00 PM,Bronx,14,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/06/2016 03:11:00 PM,Brooklyn,42,Other,Other - No Fire,No Fire
01/06/2016 03:14:00 PM,Brooklyn,44,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
01/06/2016 03:44:00 PM,Bronx,18,PD Residential Structure,Appliance Cord,Electrical
01/06/2016 04:21:00 PM,Bronx,17,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/06/2016 06:48:00 PM,Bronx,26,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 07:03:00 PM,Brooklyn,48,MD Residential Structure,Spontaneous Combustion,Natural Sources
01/06/2016 07:17:00 PM,Manhattan,01,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 07:54:00 PM,Manhattan,04,MD Residential Structure,Incendiary,Incendiary
01/06/2016 08:58:00 PM,Bronx,03,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 09:02:00 PM,Manhattan,09,Hotel,Rangehood Fire - Ductwork,Cooking Carelessness
01/06/2016 10:01:00 PM,Bronx,15,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/06/2016 11:01:00 PM,Brooklyn,44,MD Residential Structure,Preliminary Investigation Only,Other
01/06/2016 11:40:00 PM,Brooklyn,33,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/07/2016 12:16:00 AM,Brooklyn,58,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/07/2016 12:24:00 AM,Staten Island,23,PD Residential Structure,Permanent Heater - Gas,Heaters
01/07/2016 12:51:00 AM,Bronx,14,MD Residential Structure,Preliminary Investigation Only,Other
01/07/2016 12:57:00 AM,Bronx,18,MD Residential Structure,Candle,Open Flame
01/07/2016 03:49:00 AM,Manhattan,02,MD Residential Structure,Electrical Wiring,Electrical
01/07/2016 04:07:00 AM,Brooklyn,41,Vehicle,Incendiary,Incendiary
01/07/2016 05:17:00 AM,Bronx,15,Nursing Home,Incendiary,Incendiary
01/07/2016 06:14:00 AM,Brooklyn,42,Other,Preliminary Investigation Only,Other
01/07/2016 09:05:00 AM,Bronx,26,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/07/2016 01:33:00 PM,Queens,49,Outside Rubbish,Incendiary,Incendiary
01/07/2016 01:47:00 PM,Bronx,19,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/07/2016 03:21:00 PM,Manhattan,04,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/07/2016 05:00:00 PM,Bronx,19,Other,Juvenile Firesetter Intervention,Other
01/07/2016 05:07:00 PM,Manhattan,11,MD Residential Structure,Other,Other
01/07/2016 05:22:00 PM,Bronx,26,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/07/2016 07:23:00 PM,Manhattan,13,MD Residential Structure,Preliminary Investigation Only,Other
01/07/2016 07:47:00 PM,Queens,39,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/07/2016 08:17:00 PM,Manhattan,11,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/07/2016 09:49:00 PM,Bronx,17,Burn Notification (Albany),Albany Burn Notif. / Pending Investigation,Other
01/07/2016 10:16:00 PM,Brooklyn,41,MD Residential Structure,Preliminary Investigation Only,Other
01/07/2016 10:35:00 PM,Queens,49,Commercial Structure,Incendiary - Combustible Material,Incendiary
01/07/2016 10:42:00 PM,Brooklyn,42,Vehicle,Vehicle Wiring,Electrical
01/07/2016 10:59:00 PM,Staten Island,22,MD Residential Structure,Food on the Stove,Cooking Carelessness
01/07/2016 11:29:00 PM,Brooklyn,40,MD Residential Structure,Preliminary Investigation Only,Other
01/07/2016 11:41:00 PM,Bronx,27,MD Residential Structure,Incendiary,Incendiary
01/08/2016 12:45:00 AM,Brooklyn,40,Brush,Incendiary,Incendiary
01/08/2016 01:51:00 AM,Manhattan,09,Hospital,Preliminary Investigation Only,Other
01/08/2016 02:00:00 AM,Queens,45,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/08/2016 02:49:00 AM,Queens,51,Vehicle,Vehicle Wiring,Electrical
01/08/2016 03:40:00 AM,Queens,49,MD Residential Structure,Preliminary Investigation Only,Other
01/08/2016 03:57:00 AM,Bronx,27,Vehicle,Incendiary - Combustible Material,Incendiary
01/08/2016 04:05:00 AM,Manhattan,12,Commercial Structure,Candle,Open Flame
01/08/2016 06:32:00 AM,Brooklyn,41,PD Residential Structure,Electrical Wiring,Electrical
01/08/2016 08:28:00 AM,Manhattan,12,MD Residential Structure,Preliminary Investigation Only,Other
01/08/2016 08:35:00 AM,Brooklyn,40,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/08/2016 08:44:00 AM,Queens,47,PD Residential Structure,Hard Wire Outlet,Electrical
01/08/2016 09:55:00 AM,Bronx,17,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/08/2016 10:06:00 AM,Bronx,07,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/08/2016 12:31:00 PM,Bronx,18,MD Residential Structure,Preliminary Investigation Only,Other
01/08/2016 02:25:00 PM,Brooklyn,41,MD Residential Structure,Heat from Light Bulb,Hot Objects
01/08/2016 03:41:00 PM,Bronx,14,MD Residential Structure,Preliminary Investigation Only,Other
01/08/2016 03:49:00 PM,Queens,46,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/08/2016 05:14:00 PM,Brooklyn,57,MD Residential Structure,Preliminary Investigation Only,Other
01/08/2016 06:04:00 PM,Queens,46,PD Residential Structure,Electrical Wiring,Electrical
01/08/2016 07:53:00 PM,Manhattan,10,MD Residential Structure,Electrical Wiring,Electrical
01/08/2016 08:07:00 PM,Queens,39,PD Residential Structure,Incendiary - Combustible Material,Incendiary
01/08/2016 08:24:00 PM,Bronx,18,MD Residential Structure,Food on the Stove,Cooking Carelessness
01/08/2016 11:46:00 PM,Bronx,18,MD Residential Structure,Incendiary,Incendiary
01/09/2016 12:22:00 AM,Bronx,15,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/09/2016 01:34:00 AM,Manhattan,13,MD Residential Structure,Incendiary,Incendiary
01/09/2016 04:47:00 AM,Queens,51,Vehicle,Incendiary - Combustible Material,Incendiary
01/09/2016 10:41:00 AM,Queens,46,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
01/09/2016 12:52:00 PM,Manhattan,11,Religious Structure,Incendiary,Incendiary
01/09/2016 01:03:00 PM,Queens,54,PD Residential Structure,Electrical Wiring,Electrical
01/09/2016 01:06:00 PM,Queens,46,PD Residential Structure,Lighting Fixture,Electrical
01/09/2016 01:58:00 PM,Manhattan,10,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/09/2016 02:57:00 PM,Manhattan,07,MD Residential Structure,Preliminary Investigation Only,Other
01/09/2016 04:11:00 PM,Manhattan,12,Outside Rubbish,Preliminary Investigation Only,Other
01/09/2016 05:00:00 PM,Manhattan,07,MD Residential Structure,Candle,Open Flame
01/09/2016 05:05:00 PM,Brooklyn,44,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/09/2016 05:10:00 PM,Manhattan,10,MD Residential Structure,Food on the Stove,Cooking Carelessness
01/09/2016 05:13:00 PM,Brooklyn,41,MD Residential Structure,Incendiary - Fireworks,Incendiary
01/09/2016 06:19:00 PM,Queens,49,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/09/2016 06:58:00 PM,Manhattan,13,MD Residential Structure,Electrical Wiring,Electrical
01/09/2016 07:03:00 PM,Queens,45,MD Residential Structure,Electrical Wiring,Electrical
01/09/2016 07:55:00 PM,Brooklyn,44,MD Residential Structure,Other - Electrical,Electrical
01/09/2016 08:00:00 PM,Bronx,19,PD Residential Structure,Electrical Wiring,Electrical
01/09/2016 09:12:00 PM,Brooklyn,57,Commercial Structure,Clothes Dryer,Appliances
01/09/2016 09:13:00 PM,Queens,52,Outside Rubbish,Other - No Fire,No Fire
01/09/2016 09:27:00 PM,Bronx,17,Hospital,Incendiary,Incendiary
01/09/2016 09:38:00 PM,Brooklyn,40,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/09/2016 10:28:00 PM,Brooklyn,31,MD Residential Structure,Portable Heater - Electric,Heaters
01/09/2016 11:55:00 PM,Bronx,26,MD Residential Structure,Preliminary Investigation Only,Other
01/10/2016 12:00:00 AM,Bronx,17,Burn Notification (Albany),Albany Burn Notif. / Pending Investigation,Other
01/10/2016 12:06:00 AM,Brooklyn,33,PD Residential Structure,Candle,Open Flame
01/10/2016 12:23:00 AM,Brooklyn,58,PD Residential Structure,Extension Cord,Electrical
01/10/2016 01:31:00 AM,Bronx,03,Vehicle,Incendiary - Combustible Material,Incendiary
01/10/2016 03:17:00 AM,Staten Island,22,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/10/2016 07:50:00 AM,Queens,46,Commercial Structure,Electrical Wiring,Electrical
01/10/2016 10:17:00 AM,Brooklyn,35,MD Residential Structure,Preliminary Investigation Only,Other
01/10/2016 10:30:00 AM,Bronx,27,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
01/10/2016 01:35:00 PM,Manhattan,02,MD Residential Structure,Preliminary Investigation Only,Other
01/10/2016 02:39:00 PM,Manhattan,13,Government Structure,Appliance Cord,Electrical
01/10/2016 04:02:00 PM,Bronx,19,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/10/2016 04:11:00 PM,Brooklyn,35,Manhole,Preliminary Investigation Only,Other
01/10/2016 04:24:00 PM,Brooklyn,32,Commercial Structure,Other - No Fire,No Fire
01/10/2016 04:36:00 PM,Queens,46,Commercial Structure,Other - Electrical,Electrical
01/10/2016 06:26:00 PM,Manhattan,07,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
01/10/2016 06:39:00 PM,Brooklyn,58,MD Residential Structure,Incendiary,Incendiary
01/10/2016 09:52:00 PM,Brooklyn,35,MD Residential Structure,Incendiary,Incendiary
01/10/2016 09:53:00 PM,Brooklyn,31,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/10/2016 10:14:00 PM,Queens,50,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/10/2016 10:16:00 PM,Manhattan,06,MD Residential Structure,Incendiary,Incendiary
01/11/2016 12:30:00 AM,Bronx,18,Vehicle,Incendiary - Ignitable Liquid,Incendiary
01/11/2016 01:39:00 AM,Queens,51,Vehicle,Incendiary - Combustible Material,Incendiary
01/11/2016 03:10:00 AM,Brooklyn,41,MD Residential Structure,Electrical Wiring,Electrical
01/11/2016 05:44:00 AM,Manhattan,01,Outside Rubbish,Incendiary,Incendiary
01/11/2016 07:39:00 AM,Bronx,15,MFA,MFA,No Fire
01/11/2016 09:44:00 AM,Bronx,15,MD Residential Structure,Preliminary Investigation Only,Other
01/11/2016 12:33:00 PM,Manhattan,10,MD Residential Structure,Incendiary - Combustible Material,Incendiary
01/11/2016 12:36:00 PM,Brooklyn,31,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
01/11/2016 12:45:00 PM,Manhattan,09,MD Residential Structure,Other - Open Flame,Open Flame
01/11/2016 01:09:00 PM,Queens,51,Outside Rubbish,Torch - Legal Use of,Open Flame
01/11/2016 02:05:00 PM,Manhattan,10,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
01/11/2016 02:41:00 PM,Queens,51,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
01/11/2016 03:53:00 PM,Queens,53,Outside Rubbish,Incendiary - Combustible Material,Incendiary
01/11/2016 04:47:00 PM,Queens,53,Outside Rubbish,Incendiary,Incendiary
01/11/2016 05:06:00 PM,Bronx,15,PD Residential Structure,Torch - Legal Use of,Open Flame
01/11/2016 06:00:00 PM,Queens,45,Other,Juvenile Firesetter Intervention,Other
01/11/2016 06:03:00 PM,Queens,46,Commercial Structure,Extension Cord,Electrical
01/11/2016 07:12:00 PM,Brooklyn,39,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/11/2016 07:21:00 PM,Queens,50,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/11/2016 08:13:00 PM,Brooklyn,55,MD Residential Structure,Preliminary Investigation Only,Other
01/11/2016 08:15:00 PM,Queens,45,PD Residential Structure,Preliminary Investigation Only,Other
01/11/2016 08:25:00 PM,Manhattan,09,MD Residential Structure,Preliminary Investigation Only,Other
01/11/2016 11:47:00 PM,Manhattan,06,MD Residential Structure,Incendiary,Incendiary
01/12/2016 12:38:00 AM,Bronx,14,Outside Rubbish,Incendiary,Incendiary
01/12/2016 02:24:00 AM,Manhattan,07,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
01/12/2016 05:44:00 AM,Bronx,19,MD Residential Structure,Electrical Wiring,Electrical
01/12/2016 05:52:00 AM,Manhattan,01,Commercial Structure,Incendiary,Incendiary
01/12/2016 09:12:00 AM,Queens,53,School,Heat From Molten Metal / Slag,Hot Objects
01/12/2016 10:20:00 AM,Bronx,18,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
01/12/2016 10:33:00 AM,Manhattan,11,MD Residential Structure,Preliminary Investigation Only,Other
