Incident_DateTime,Borough,Battalion,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
09/03/2020 01:53:38 PM,Brooklyn,39,Commercial Structure,Electrical Wiring,Electrical
09/03/2020 05:11:46 PM,Brooklyn,33,Vehicle,Matches/Lighter,Open Flame
09/03/2020 06:42:39 PM,Manhattan,13,Outside Rubbish,Incendiary,Incendiary
09/03/2020 07:13:22 PM,Bronx,14,Vehicle,Incendiary - Ignitable Liquid,Incendiary
09/04/2020 12:02:06 AM,Manhattan,07,MD Residential Structure,Incendiary,Incendiary
09/04/2020 05:29:35 AM,Manhattan,11,MD Residential Structure,Candle,Open Flame
09/04/2020 06:22:56 AM,Bronx,19,MD Residential Structure,Coffee Pot,Appliances
09/04/2020 09:48:32 AM,Manhattan,09,MD Residential Structure,Incendiary - Combustible Material,Incendiary
09/04/2020 10:32:58 AM,Manhattan,16,MD Residential Structure,Incendiary - Combustible Material,Incendiary
09/04/2020 03:41:19 PM,Brooklyn,32,MD Residential Structure,Incendiary - Ignitable Liquid,Incendiary
09/04/2020 05:33:46 PM,Queens,54,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
09/04/2020 06:20:33 PM,Queens,45,MD Residential Structure,Juvenile Firesetter Intervention,Other
09/04/2020 09:10:16 PM,Queens,47,PD Residential Structure,Incendiary - Fireworks,Incendiary
09/04/2020 11:38:06 PM,Brooklyn,33,Boat,Incendiary - Ignitable Liquid,Incendiary
09/05/2020 12:00:07 AM,Queens,49,MD Residential Structure,Incendiary,Incendiary
09/05/2020 01:17:21 AM,Brooklyn,40,MD Residential Structure,Fuse/Circuit Breaker Panel,Electrical
09/05/2020 02:29:47 AM,Queens,49,PD Residential Structure,Preliminary Investigation Only,Other
09/05/2020 09:00:20 AM,Staten Island,21,PD Residential Structure,Appliance Cord,Electrical
09/05/2020 10:24:25 AM,Brooklyn,39,MD Residential Structure,Electrical Wiring,Electrical
09/05/2020 01:32:39 PM,Bronx,18,Garage/Shed,Smoking (Cigarette/Cigar),Smoking
09/05/2020 04:00:40 PM,Staten Island,23,Transformer,Preliminary Investigation Only,Other
09/05/2020 04:15:28 PM,Bronx,26,MD Residential Structure,Extension Cord,Electrical
09/05/2020 04:58:36 PM,Queens,46,MD Residential Structure,Incendiary - Combustible Material,Incendiary
09/05/2020 05:09:33 PM,Queens,52,PD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
09/05/2020 06:40:25 PM,Manhattan,16,MD Residential Structure,Child Playing w/ Other Open Flame,Open Flame
09/05/2020 07:08:30 PM,Manhattan,10,MD Residential Structure,Electrical Wiring,Electrical
09/05/2020 07:59:35 PM,Brooklyn,42,PD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
09/05/2020 08:27:55 PM,Bronx,17,MD Residential Structure,Appliance Cord,Electrical
09/05/2020 08:42:22 PM,Queens,46,Other,Preliminary Investigation Only,Other
09/05/2020 08:43:56 PM,Brooklyn,38,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
09/05/2020 11:25:53 PM,Manhattan,16,School,Other - Electrical,Electrical
09/06/2020 05:16:37 AM,Manhattan,07,MD Residential Structure,Other - Hot Objects,Hot Objects
09/06/2020 05:18:11 AM,Brooklyn,37,Vehicle,Motors - Fossil Fuel Powered,Motors
09/06/2020 05:55:54 AM,Queens,46,PD Residential Structure,Other - Electrical,Electrical
09/06/2020 08:00:00 AM,Manhattan,07,MFA,MFA,No Fire
09/06/2020 11:00:00 AM,Bronx,19,No Fire,SIU Investigation,Other
09/06/2020 11:21:45 AM,Brooklyn,44,PD Residential Structure,Stove  - Natural Gas,Appliances
09/06/2020 12:06:11 PM,Brooklyn,57,PD Residential Structure,Clothes Dryer - Natural Gas,Appliances
09/06/2020 12:50:13 PM,Queens,52,PD Residential Structure,Incense,Hot Objects
09/06/2020 01:32:16 PM,Brooklyn,32,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
09/06/2020 01:53:46 PM,Queens,46,Commercial Structure,Electrical Wiring,Electrical
