Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2020,11/22/2020 02:46:25 AM,Staten Island,22,02,121,Vehicle,Vehicle Wiring,Electrical
2020,11/22/2020 04:11:24 AM,Bronx,18,06,048,Vehicle,Incendiary,Incendiary
2020,11/22/2020 02:25:48 PM,Manhattan,04,03,009,Vehicle,Motors - Fossil Fuel Powered,Motors
2020,11/22/2020 02:38:41 PM,Brooklyn,40,12,066,MD Residential Structure,Electrical Wiring,Electrical
2020,11/22/2020 03:00:10 PM,Queens,52,07,109,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/22/2020 06:27:25 PM,Bronx,26,01,040,PD Residential Structure,Electrical Wiring,Electrical
2020,11/22/2020 08:53:27 PM,Staten Island,21,02,122,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2020,11/23/2020 01:52:39 AM,Brooklyn,42,10,068,Vehicle,Incendiary - Combustible Material,Incendiary
2020,11/23/2020 02:06:57 AM,Bronx,20,09,043,MD Residential Structure,Incense,Hot Objects
2020,11/23/2020 02:55:27 AM,Brooklyn,44,16,073,Vehicle,Incendiary,Incendiary
2020,11/23/2020 04:58:45 AM,Brooklyn,58,18,063,Vehicle,Vehicle Wiring,Electrical
2020,11/23/2020 08:08:00 AM,Manhattan,07,05,014,Transit,SIU Investigation,Other
2020,11/23/2020 02:21:10 PM,Queens,,03,115,Vehicle,Motors - Fossil Fuel Powered,Motors
2020,11/23/2020 04:17:29 PM,Bronx,20,11,049,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/23/2020 05:54:56 PM,Staten Island,21,01,120,Commercial Structure,Spontaneous Combustion,Natural Sources
2020,11/23/2020 10:45:29 PM,Brooklyn,31,02,088,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,11/23/2020 11:02:31 PM,Queens,54,12,103,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/23/2020 11:39:22 PM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2020,11/23/2020 11:52:37 PM,Brooklyn,58,17,067,MD Residential Structure,Other - Open Flame,Open Flame
2020,11/24/2020 04:37:00 AM,Manhattan,13,12,033,MD Residential Structure,Incendiary,Incendiary
2020,11/24/2020 10:27:00 AM,Brooklyn,38,09,071,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/24/2020 10:44:54 AM,Manhattan,10,07,020,MD Residential Structure,Electrical Wiring,Electrical
2020,11/24/2020 12:10:00 PM,Brooklyn,58,18,069,Vehicle,Exothermic Chemical Reaction,Other
2020,11/24/2020 03:45:25 PM,Queens,50,12,103,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,11/24/2020 04:21:23 PM,Brooklyn,37,03,081,MD Residential Structure,Candle,Open Flame
2020,11/24/2020 04:49:00 PM,Manhattan,09,04,018,Hotel,Incense,Hot Objects
2020,11/24/2020 05:49:00 PM,Bronx,15,12,047,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/24/2020 06:59:00 PM,Brooklyn,58,18,069,MD Residential Structure,Other - No Fire,No Fire
2020,11/24/2020 08:33:00 PM,Bronx,18,06,048,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/24/2020 10:06:52 PM,Brooklyn,41,17,067,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/25/2020 12:43:53 AM,Brooklyn,28,01,090,Commercial Structure,Other - Gas,Ignitable
2020,11/25/2020 02:22:16 AM,Queens,53,13,105,Vehicle,Incendiary - Ignitable Liquid,Incendiary
2020,11/25/2020 04:38:20 AM,Manhattan,02,02,006,Commercial Structure,Electrical Wiring,Electrical
2020,11/25/2020 10:03:01 AM,Bronx,17,04,044,MD Residential Structure,Stove  - Natural Gas,Appliances
2020,11/25/2020 11:06:20 AM,Queens,39,09,102,Garage/Shed,Other - Electrical,Electrical
2020,11/25/2020 11:49:49 AM,Queens,54,13,105,PD Residential Structure,Preliminary Investigation Only,Other
2020,11/25/2020 02:13:01 PM,Queens,46,04,110,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/25/2020 05:40:54 PM,Manhattan,10,11,023,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,11/25/2020 07:45:13 PM,Manhattan,07,04,010,MD Residential Structure,Incendiary,Incendiary
2020,11/25/2020 09:03:09 PM,Bronx,26,03,042,Vehicle,Incendiary,Incendiary
2020,11/25/2020 10:08:58 PM,Bronx,18,06,048,Vehicle,Incendiary,Incendiary
2020,11/26/2020 03:32:28 AM,Bronx,18,06,048,Commercial Structure,Hard Wire Outlet,Electrical
2020,11/26/2020 04:09:31 AM,Manhattan,13,12,033,Vehicle,Incendiary,Incendiary
2020,11/26/2020 07:11:12 AM,Brooklyn,38,09,071,MD Residential Structure,Other - Electrical,Electrical
2020,11/26/2020 08:31:05 AM,Bronx,17,04,044,MD Residential Structure,Candle,Open Flame
2020,11/26/2020 09:08:58 AM,Bronx,17,03,042,MD Residential Structure,Incendiary,Incendiary
2020,11/26/2020 02:59:23 PM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2020,11/26/2020 07:03:12 PM,Brooklyn,41,14,070,MD Residential Structure,Stove  - Natural Gas,Appliances
2020,11/26/2020 10:29:00 PM,Bronx,15,12,047,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/26/2020 10:34:00 PM,Manhattan,16,10,032,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/26/2020 11:16:00 PM,Brooklyn,57,03,079,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/27/2020 02:56:38 AM,Queens,45,02,108,Commercial Structure,Extension Cord,Electrical
2020,11/27/2020 05:14:13 AM,Manhattan,08,06,017,MD Residential Structure,Incendiary,Incendiary
2020,11/27/2020 06:08:34 AM,Brooklyn,44,16,073,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2020,11/27/2020 02:15:16 PM,Queens,54,13,105,Vehicle,Vehicle Wiring,Electrical
2020,11/27/2020 05:21:04 PM,Bronx,,06,048,Vehicle,Incendiary,Incendiary
2020,11/27/2020 09:43:55 PM,Staten Island,21,01,120,MD Residential Structure,Preliminary Investigation Only,Other
2020,11/27/2020 11:37:28 PM,Bronx,26,03,042,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2020,11/28/2020 12:58:45 AM,Brooklyn,28,04,083,Vehicle,Candle,Open Flame
2020,11/28/2020 01:17:22 AM,Manhattan,09,05,018,Hotel,Electrical Wiring,Electrical
2020,11/28/2020 04:51:49 AM,Brooklyn,39,05,075,Vehicle,Smoking (Cigarette/Cigar),Smoking
2020,11/28/2020 04:58:21 AM,Queens,53,13,105,Vehicle,Incendiary - Combustible Material,Incendiary
2020,11/28/2020 06:58:16 AM,Bronx,26,03,042,MD Residential Structure,Incendiary,Incendiary
2020,11/28/2020 05:49:58 PM,Staten Island,22,02,121,Commercial Structure,Incendiary,Incendiary
2020,11/28/2020 07:32:08 PM,Manhattan,10,11,023,MD Residential Structure,Other - Electrical,Electrical
2020,11/28/2020 08:11:02 PM,Manhattan,09,07,020,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2020,11/28/2020 10:56:23 PM,Bronx,03,09,043,MD Residential Structure,Food on the Stove,Cooking Carelessness
2020,11/29/2020 01:28:03 AM,Brooklyn,57,03,079,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2020,11/29/2020 01:37:09 AM,Queens,50,06,112,Commercial Structure,Feeder Cable,Electrical
2020,11/29/2020 02:14:25 AM,Bronx,14,03,042,Vehicle,Incendiary - Combustible Material,Incendiary
