Case_Year,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2016,01/01/2016 12:08:00 AM,Queens,50,08,107,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 12:13:00 AM,Staten Island,21,02,122,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:21:00 AM,Queens,37,05,104,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:29:00 AM,Bronx,15,12,047,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 12:32:00 AM,Queens,50,12,103,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 12:46:00 AM,Manhattan,09,04,014,MD Residential Structure,Candle,Open Flame
2016,01/01/2016 01:24:00 AM,Brooklyn,32,02,076,PD Residential Structure,Other - Open Flame,Open Flame
2016,01/01/2016 01:46:00 AM,Queens,46,04,110,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 02:52:00 AM,Manhattan,16,10,032,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 03:45:00 AM,Brooklyn,28,04,083,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 05:31:00 AM,Manhattan,09,04,018,MD Residential Structure,Candle,Open Flame
2016,01/01/2016 08:00:00 AM,Queens,46,04,110,Other,Other - No Fire,No Fire
2016,01/01/2016 09:52:00 AM,Manhattan,01,02,005,MD Residential Structure,Computer Component(s),Electrical Devices
2016,01/01/2016 11:50:00 AM,Bronx,15,07,052,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 01:21:00 PM,Bronx,03,02,041,Other,Food on the Stove,Cooking Carelessness
2016,01/01/2016 01:48:00 PM,Bronx,20,11,049,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/01/2016 02:27:00 PM,Brooklyn,57,03,079,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 02:27:00 PM,Brooklyn,57,03,079,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/01/2016 04:27:00 PM,Queens,49,01,114,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 04:38:00 PM,Queens,46,06,112,MD Residential Structure,Incendiary,Incendiary
2016,01/01/2016 05:51:00 PM,Bronx,03,09,043,MD Residential Structure,Incendiary,Incendiary
2016,01/01/2016 06:17:00 PM,Manhattan,10,08,019,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 06:30:00 PM,Brooklyn,57,03,079,Outside Rubbish,Incendiary,Incendiary
2016,01/01/2016 07:18:00 PM,Manhattan,10,08,019,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/01/2016 07:51:00 PM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/01/2016 08:10:00 PM,Brooklyn,58,18,069,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 09:00:00 PM,Queens,50,12,113,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 09:38:00 PM,Brooklyn,43,13,060,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 10:25:00 PM,Brooklyn,43,11,062,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/01/2016 11:30:00 PM,Brooklyn,48,11,048,Commercial Structure,Electrical Wiring,Electrical
2016,01/01/2016 11:55:00 PM,Brooklyn,39,05,075,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 04:19:00 AM,Brooklyn,44,16,073,Other,Other - No Fire,No Fire
2016,01/02/2016 04:19:00 AM,Brooklyn,44,16,073,MD Residential Structure,Other - No Fire,No Fire
2016,01/02/2016 06:07:00 AM,Bronx,14,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 06:23:00 AM,Manhattan,06,03,009,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 07:09:00 AM,Manhattan,04,03,009,MD Residential Structure,Incendiary,Incendiary
2016,01/02/2016 09:54:00 AM,Bronx,27,08,050,Group Home,Incendiary,Incendiary
2016,01/02/2016 10:06:00 AM,Bronx,27,08,050,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 11:30:00 AM,Queens,45,02,108,MD Residential Structure,Electrical Wiring,Electrical
2016,01/02/2016 11:56:00 AM,Brooklyn,39,05,075,PD Residential Structure,Electrical Wiring,Electrical
2016,01/02/2016 12:05:00 PM,Manhattan,13,09,030,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 02:08:00 PM,Manhattan,08,06,017,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 02:13:00 PM,Queens,47,14,101,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 04:01:00 PM,Brooklyn,31,08,078,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
2016,01/02/2016 04:01:00 PM,Brooklyn,31,08,078,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/02/2016 05:13:00 PM,Brooklyn,32,06,076,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 06:08:00 PM,Brooklyn,58,18,069,Vehicle,Incendiary - Combustible Material,Incendiary
2016,01/02/2016 06:48:00 PM,Bronx,03,09,043,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 07:03:00 PM,Manhattan,09,04,018,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/02/2016 07:51:00 PM,Queens,50,12,103,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/02/2016 09:01:00 PM,Brooklyn,58,18,063,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/02/2016 09:57:00 PM,Brooklyn,51,05,075,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2017,02/27/2017 04:49:00 PM,Staten Island,21,01,120,Other,Other - No Fire,No Fire
2016,01/02/2016 10:43:00 PM,Brooklyn,43,13,062,Vehicle,Incendiary - Ignitable Liquid,Incendiary
2016,01/02/2016 11:36:00 PM,Queens,54,13,105,PD Residential Structure,Fireplace,Open Flame
2016,01/02/2016 11:42:00 PM,Brooklyn,42,10,068,Vehicle,Vehicle Wiring,Electrical
2016,01/03/2016 02:18:00 AM,Manhattan,01,03,005,MD Residential Structure,Extension Cord,Electrical
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,MD Residential Structure,Electrical Wiring,Electrical
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 02:41:00 AM,Bronx,15,12,047,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 04:42:00 AM,Brooklyn,32,02,084,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 08:14:00 AM,Manhattan,06,03,009,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 10:44:00 AM,Bronx,03,09,043,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 10:51:00 AM,Manhattan,07,05,014,MD Residential Structure,Other - Open Flame,Open Flame
2016,01/03/2016 11:00:00 AM,Bronx,15,11,049,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 11:00:00 AM,Bronx,15,11,049,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 11:24:00 AM,Bronx,20,10,045,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 11:32:00 AM,Bronx,15,10,045,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 12:29:00 PM,Manhattan,16,10,032,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 12:36:00 PM,Bronx,26,01,042,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/03/2016 12:50:00 PM,Bronx,15,10,045,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/03/2016 01:31:00 PM,Brooklyn,42,10,068,MD Residential Structure,Holiday Lighting,Electrical
2016,01/03/2016 01:53:00 PM,Queens,45,05,104,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 02:54:00 PM,Bronx,26,01,042,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/03/2016 03:28:00 PM,Bronx,19,05,048,Commercial Structure,Electrical Wiring,Electrical
2016,01/03/2016 04:16:00 PM,Queens,52,07,109,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/03/2016 04:30:00 PM,Bronx,19,05,046,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 05:30:00 PM,Brooklyn,35,01,088,Outside Rubbish,Incendiary,Incendiary
2016,01/03/2016 06:00:00 PM,Brooklyn,42,11,062,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/03/2016 06:54:00 PM,Manhattan,12,10,028,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/03/2016 07:12:00 PM,Brooklyn,28,04,083,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/03/2016 08:19:00 PM,Bronx,26,03,042,MD Residential Structure,Incendiary,Incendiary
2016,01/03/2016 08:20:00 PM,Staten Island,23,03,123,PD Residential Structure,Other - Electrical,Electrical
2016,01/03/2016 08:23:00 PM,Staten Island,23,03,122,Outside Rubbish,Incendiary,Incendiary
2016,01/03/2016 09:37:00 PM,Queens,54,13,105,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/03/2016 09:46:00 PM,Manhattan,01,01,001,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 12:16:00 AM,Queens,46,05,104,Commercial Structure,Incendiary - Ignitable Liquid,Incendiary
2016,01/04/2016 01:16:00 AM,Bronx,18,03,048,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/04/2016 07:46:00 AM,Manhattan,16,09,030,MD Residential Structure,Extension Cord,Electrical
2016,01/04/2016 10:56:00 AM,Brooklyn,40,12,066,MD Residential Structure,Other Motor,Motors
2016,01/04/2016 12:27:00 PM,Queens,46,04,110,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/04/2016 01:00:00 PM,Bronx,20,10,045,Government Structure,Incendiary,Incendiary
2016,01/04/2016 01:19:00 PM,Brooklyn,57,08,077,MD Residential Structure,Electrical Wiring,Electrical
2016,01/04/2016 02:32:00 PM,Queens,50,12,103,MD Residential Structure,Motors - Fan,Motors
2016,01/04/2016 02:35:00 PM,Bronx,19,05,046,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/04/2016 04:00:00 PM,Queens,53,11,111,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/04/2016 04:44:00 PM,Bronx,18,06,048,Other,Juvenile Firesetter Intervention,Other
2016,01/04/2016 04:44:00 PM,Bronx,18,06,048,MD Residential Structure,Child Playing w/ Other Open Flame,Open Flame
2016,01/04/2016 04:49:00 PM,Brooklyn,57,17,073,MD Residential Structure,Incendiary,Incendiary
2016,01/04/2016 04:57:00 PM,Brooklyn,38,09,071,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 05:38:00 PM,Brooklyn,41,17,067,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/04/2016 06:50:00 PM,Queens,45,01,114,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 06:55:00 PM,Manhattan,11,09,026,MD Residential Structure,Incendiary,Incendiary
2016,01/04/2016 07:08:00 PM,Brooklyn,41,17,067,MD Residential Structure,Other - Hot Objects,Hot Objects
2016,01/04/2016 07:44:00 PM,Queens,49,01,114,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 07:53:00 PM,Bronx,03,09,043,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/04/2016 08:10:00 PM,Staten Island,22,01,121,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 08:12:00 PM,Bronx,18,06,048,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/04/2016 08:29:00 PM,Bronx,26,01,040,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/04/2016 08:33:00 PM,Manhattan,16,10,032,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/04/2016 08:41:00 PM,Brooklyn,33,18,063,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/04/2016 08:41:00 PM,Brooklyn,33,18,063,Boat,Portable Heater - Kerosene,Heaters
2016,01/04/2016 09:12:00 PM,Brooklyn,42,11,062,MD Residential Structure,Electrical Wiring,Electrical
2016,01/04/2016 09:50:00 PM,Manhattan,16,09,030,Commercial Structure,Clothes Dryer - Natural Gas,Appliances
2016,01/05/2016 12:15:00 AM,Manhattan,01,01,001,MD Residential Structure,Candle,Open Flame
2016,01/05/2016 01:23:00 AM,Manhattan,11,07,020,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2016,01/05/2016 02:16:00 AM,Brooklyn,38,09,071,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/05/2016 03:29:00 AM,Staten Island,21,02,122,MFA,MFA,No Fire
2016,01/05/2016 06:07:00 AM,Brooklyn,39,05,075,Commercial Structure,Other - Hot Objects,Hot Objects
2016,01/05/2016 07:06:00 AM,Queens,50,13,102,Commercial Structure,Motors - Fossil Fuel Powered,Motors
2016,01/05/2016 07:53:00 AM,Brooklyn,39,05,075,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/05/2016 08:16:00 AM,Manhattan,07,05,014,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/05/2016 08:57:00 AM,Manhattan,09,05,017,MD Residential Structure,Other - No Fire,No Fire
2016,01/05/2016 09:59:00 AM,Brooklyn,39,05,075,PD Residential Structure,Extension Cord,Electrical
2016,01/05/2016 10:25:00 AM,Staten Island,23,03,122,PD Residential Structure,Permanent Heater - Gas,Heaters
2016,01/05/2016 11:05:00 AM,Queens,50,12,113,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/05/2016 11:06:00 AM,Queens,52,07,109,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/05/2016 11:44:00 AM,Bronx,26,01,040,Outside Rubbish,Smoking (Cigarette/Cigar),Smoking
2016,01/05/2016 12:08:00 PM,Manhattan,06,05,013,Commercial Structure,Permanent Heater - Gas,Heaters
2016,01/05/2016 01:29:00 PM,Queens,54,13,105,PD Residential Structure,Incense,Hot Objects
2016,01/05/2016 01:30:00 PM,Staten Island,22,02,121,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/05/2016 01:42:00 PM,Bronx,27,08,050,PD Residential Structure,Preliminary Investigation Only,Other
2016,01/05/2016 02:36:00 PM,Brooklyn,40,10,068,MD Residential Structure,Matches/Lighter,Open Flame
2016,01/05/2016 03:13:00 PM,Bronx,19,05,046,Vehicle,Vehicle Wiring,Electrical
2016,01/05/2016 04:19:00 PM,Brooklyn,57,03,079,MD Residential Structure,Extension Cord,Electrical
2016,01/05/2016 04:45:00 PM,Bronx,19,05,044,MD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
2016,01/05/2016 05:49:00 PM,Bronx,15,12,047,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/05/2016 05:54:00 PM,Queens,54,13,105,PD Residential Structure,Lighting Fixture,Electrical
2016,01/05/2016 06:34:00 PM,Bronx,20,12,047,PD Residential Structure,Cooking Fire Extending to Clothing or Combustibles,Cooking Carelessness
2016,01/05/2016 06:34:00 PM,Bronx,20,12,047,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/05/2016 06:34:00 PM,Bronx,20,12,047,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/05/2016 06:34:00 PM,Bronx,20,12,047,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/05/2016 07:00:00 PM,Outside of NYC,,Out of NYC,,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/05/2016 08:47:00 PM,Bronx,27,12,047,Burn Notification (Albany),Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/05/2016 09:18:00 PM,Bronx,18,09,043,MD Residential Structure,Electrical Wiring,Electrical
2016,01/05/2016 09:22:00 PM,Brooklyn,48,12,070,MD Residential Structure,Other - Electrical,Electrical
2016,01/05/2016 09:31:00 PM,Queens,49,01,114,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/06/2016 02:06:00 AM,Manhattan,16,10,032,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/06/2016 02:06:00 AM,Manhattan,16,10,032,Burn Notification,Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/06/2016 02:34:00 AM,Brooklyn,35,01,094,Outside Rubbish,Permanent Heater,Heaters
2016,01/06/2016 07:12:00 AM,Bronx,14,01,040,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 07:18:00 AM,Queens,54,12,113,Garage/Shed,Extension Cord,Electrical
2016,01/06/2016 08:59:00 AM,Queens,53,11,111,Burn Notification (Albany),Albany Burn Notif. / Pending Investigation,Other
2016,01/06/2016 09:04:00 AM,Brooklyn,41,14,070,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/06/2016 11:15:00 AM,Brooklyn,38,17,071,PD Residential Structure,Other - Electrical,Electrical
2016,01/06/2016 11:22:00 AM,Manhattan,11,10,028,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 12:52:00 PM,Staten Island,21,01,120,PD Residential Structure,Other - Electrical,Electrical
2016,01/06/2016 01:27:00 PM,Staten Island,40,01,120,MD Residential Structure,Other - No Fire,No Fire
2016,01/06/2016 01:27:00 PM,Bronx,18,06,048,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 02:45:00 PM,Bronx,14,01,040,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/06/2016 03:11:00 PM,Brooklyn,42,12,066,Other,Other - No Fire,No Fire
2016,01/06/2016 03:14:00 PM,Brooklyn,44,16,073,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2016,01/06/2016 03:44:00 PM,Bronx,18,09,043,PD Residential Structure,Appliance Cord,Electrical
2016,01/06/2016 03:44:00 PM,Bronx,18,09,043,Burn Notification (Albany),Albany Burn Notif. Related to a Previous BFI Inv.,Other
2016,01/06/2016 04:21:00 PM,Bronx,17,03,048,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/06/2016 06:48:00 PM,Bronx,26,01,040,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 07:03:00 PM,Brooklyn,48,12,066,MD Residential Structure,Spontaneous Combustion,Natural Sources
2016,01/06/2016 07:17:00 PM,Manhattan,01,01,001,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 07:54:00 PM,Manhattan,04,03,009,MD Residential Structure,Incendiary,Incendiary
2016,01/06/2016 08:58:00 PM,Bronx,03,09,043,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 09:02:00 PM,Manhattan,09,05,018,Hotel,Rangehood Fire - Ductwork,Cooking Carelessness
2016,01/06/2016 09:02:00 PM,Manhattan,13,12,034,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 10:01:00 PM,Bronx,15,12,047,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/06/2016 11:01:00 PM,Brooklyn,44,16,073,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/06/2016 11:40:00 PM,Brooklyn,33,15,061,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/07/2016 12:16:00 AM,Brooklyn,58,18,069,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/07/2016 12:24:00 AM,Staten Island,23,02,122,PD Residential Structure,Permanent Heater - Gas,Heaters
2016,01/07/2016 12:51:00 AM,Bronx,14,04,044,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/07/2016 12:57:00 AM,Bronx,18,06,048,MD Residential Structure,Candle,Open Flame
2016,01/07/2016 03:49:00 AM,Manhattan,02,02,006,MD Residential Structure,Electrical Wiring,Electrical
2016,01/07/2016 04:07:00 AM,Brooklyn,41,17,067,Vehicle,Incendiary,Incendiary
2016,01/07/2016 05:17:00 AM,Bronx,15,08,050,Nursing Home,Incendiary,Incendiary
2016,01/07/2016 06:14:00 AM,Brooklyn,42,10,068,Other,Preliminary Investigation Only,Other
2016,01/07/2016 09:05:00 AM,Bronx,26,01,040,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/07/2016 01:33:00 PM,Queens,49,01,114,Outside Rubbish,Incendiary,Incendiary
2016,01/07/2016 01:47:00 PM,Bronx,19,05,046,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/07/2016 03:21:00 PM,Manhattan,04,03,007,Burn Notification,Albany Burn Notif. Unrelated to a Fire/Explosion,Other
2016,01/07/2016 05:00:00 PM,Bronx,19,05,046,Other,Juvenile Firesetter Intervention,Other
2016,01/07/2016 05:07:00 PM,Manhattan,11,07,024,MD Residential Structure,Other,Other
2016,01/07/2016 05:22:00 PM,Bronx,26,03,042,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/07/2016 07:23:00 PM,Manhattan,13,09,030,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/07/2016 07:47:00 PM,Queens,39,10,106,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/07/2016 08:17:00 PM,Manhattan,11,07,020,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/07/2016 08:17:00 PM,Queens,46,04,110,Commercial Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/07/2016 09:49:00 PM,Bronx,17,04,044,Burn Notification (Albany),Albany Burn Notif. / Pending Investigation,Other
2016,01/07/2016 10:16:00 PM,Brooklyn,41,14,070,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/07/2016 10:35:00 PM,Queens,49,03,115,Commercial Structure,Incendiary - Combustible Material,Incendiary
2016,01/07/2016 10:42:00 PM,Brooklyn,42,11,062,Vehicle,Vehicle Wiring,Electrical
2016,01/07/2016 10:59:00 PM,Staten Island,22,01,120,MD Residential Structure,Food on the Stove,Cooking Carelessness
2016,01/07/2016 11:29:00 PM,Brooklyn,40,07,072,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/07/2016 11:41:00 PM,Bronx,27,08,050,MD Residential Structure,Incendiary,Incendiary
2016,01/08/2016 12:45:00 AM,Brooklyn,40,10,068,Brush,Incendiary,Incendiary
2016,01/08/2016 01:51:00 AM,Manhattan,09,04,018,Hospital,Preliminary Investigation Only,Other
2016,01/08/2016 02:00:00 AM,Queens,45,02,108,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/08/2016 02:49:00 AM,Queens,51,09,102,Vehicle,Vehicle Wiring,Electrical
2016,01/08/2016 03:40:00 AM,Queens,49,02,108,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/08/2016 03:57:00 AM,Bronx,27,12,047,Vehicle,Incendiary - Combustible Material,Incendiary
2016,01/08/2016 04:05:00 AM,Manhattan,12,11,023,Commercial Structure,Candle,Open Flame
2016,01/08/2016 06:32:00 AM,Brooklyn,41,14,067,PD Residential Structure,Electrical Wiring,Electrical
2016,01/08/2016 08:28:00 AM,Manhattan,12,11,023,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/08/2016 08:35:00 AM,Brooklyn,40,07,068,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/08/2016 08:44:00 AM,Queens,47,14,100,PD Residential Structure,Hard Wire Outlet,Electrical
2016,01/08/2016 09:55:00 AM,Bronx,17,04,044,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/08/2016 10:06:00 AM,Bronx,07,10,045,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/08/2016 12:31:00 PM,Bronx,18,06,048,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/08/2016 02:25:00 PM,Brooklyn,41,14,070,MD Residential Structure,Heat from Light Bulb,Hot Objects
2016,01/08/2016 03:41:00 PM,Bronx,14,01,040,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/08/2016 03:49:00 PM,Queens,46,04,110,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/08/2016 05:14:00 PM,Brooklyn,57,08,077,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/08/2016 06:04:00 PM,Queens,46,03,115,PD Residential Structure,Electrical Wiring,Electrical
2016,01/08/2016 07:53:00 PM,Manhattan,10,08,019,MD Residential Structure,Electrical Wiring,Electrical
2016,01/08/2016 08:07:00 PM,Queens,39,10,106,PD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/08/2016 08:24:00 PM,Bronx,18,11,049,MD Residential Structure,Food on the Stove,Cooking Carelessness
2016,01/08/2016 11:46:00 PM,Bronx,18,06,048,MD Residential Structure,Incendiary,Incendiary
2016,01/09/2016 12:22:00 AM,Bronx,15,12,047,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2016,01/09/2016 01:34:00 AM,Manhattan,13,12,034,MD Residential Structure,Incendiary,Incendiary
2016,01/09/2016 04:47:00 AM,Queens,51,10,106,Vehicle,Incendiary - Combustible Material,Incendiary
2016,01/09/2016 10:41:00 AM,Queens,46,03,115,MD Residential Structure,Stove/Cooking - Other,Cooking Carelessness
2016,01/09/2016 12:52:00 PM,Manhattan,11,08,019,Religious Structure,Incendiary,Incendiary
2016,01/09/2016 01:03:00 PM,Queens,54,13,105,PD Residential Structure,Electrical Wiring,Electrical
2016,01/09/2016 01:06:00 PM,Queens,46,04,110,PD Residential Structure,Lighting Fixture,Electrical
2016,01/09/2016 01:58:00 PM,Manhattan,10,11,023,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/09/2016 02:57:00 PM,Manhattan,07,04,010,MD Residential Structure,Preliminary Investigation Only,Other
2016,01/09/2016 03:48:00 PM,Brooklyn,41,14,070,Outside Rubbish,,
2016,01/09/2016 04:11:00 PM,Manhattan,12,11,023,Outside Rubbish,Preliminary Investigation Only,Other
2016,01/09/2016 05:00:00 PM,Manhattan,07,02,006,MD Residential Structure,Candle,Open Flame
2016,01/09/2016 05:05:00 PM,Brooklyn,44,16,073,MD Residential Structure,Incendiary - Combustible Material,Incendiary
2016,01/09/2016 05:10:00 PM,Manhattan,10,11,023,MD Residential Structure,Food on the Stove,Cooking Carelessness
2016,01/09/2016 05:13:00 PM,Brooklyn,41,09,071,MD Residential Structure,Incendiary - Fireworks,Incendiary
2016,01/09/2016 06:19:00 PM,Queens,49,01,114,Outside Rubbish,Incendiary - Combustible Material,Incendiary
2016,01/09/2016 06:58:00 PM,Manhattan,13,12,034,MD Residential Structure,Electrical Wiring,Electrical
